site,dist,site_name,start,end,lat,lon,source,state,height,bar_ht,wmo,location,path,loc_lat,loc_lon
-------,-----,----------------------------------------,-------,-------,--------,---------,--------------,---,----------,--------,------,NA,NA,NA,NA
002060,02,KINGSTON REST,1969,..,-16.0397,128.4150,GPS,WA,69.0,..,..,"Durack, WA ",/places/wa/FB37/?location=Durack,-16.040,128.415
002061,02,CARRANYA,1963,..,-19.3322,127.6367,GPS,WA,338.0,..,..,"Sturt Creek, WA ",/places/wa/DWQ1/?location=Sturt Creek,-19.332,127.637
002062,02,FOX RIVER,1975,2023,-18.4233,128.0308,GPS,WA,310.0,..,..,"Ord River, WA ",/places/wa/DWZS/?location=Ord River,-18.423,128.031
002063,02,LARRANGANNI,1976,1978,-19.8761,128.4581,.....,WA,470.0,..,..,"Tanami, WA ",/places/wa/DVCQ/?location=Tanami,-19.876,128.458
002064,02,ARGYLE AERODROME,1986,..,-16.6380,128.4516,GPS,WA,164.0,165.0,94217,"Unnamed location,  ",/places//DZCR/?location=Unnamed location,-16.638,128.452
002065,02,MORNINGTON,1991,2004,-17.3936,126.2281,GPS,WA,280.0,..,..,"King Leopold Ranges, WA ",/places/wa/DX80/?location=King Leopold Ranges,-17.394,126.228
002066,02,CARRANYA 2,1991,1995,-19.1764,127.6497,.....,WA,350.0,..,..,"Sturt Creek, WA ",/places/wa/DWQH/?location=Sturt Creek,-19.176,127.650
002067,02,KUNUNURRA CHECKPOINT,1993,..,-15.9816,128.9991,GPS,WA,80.0,..,..,"Lake Argyle, WA ",/places/wa/FB7S/?location=Lake Argyle,-15.982,128.999
002068,02,MARION DOWNS,1993,..,-17.0716,126.8494,GPS,WA,460.0,..,..,"Gibb, WA ",/places/wa/DXDX/?location=Gibb,-17.072,126.849
002069,02,KACHANA,1993,..,-16.4433,127.7836,GPS,WA,270.0,..,..,"Durack, WA ",/places/wa/F8NE/?location=Durack,-16.443,127.784
002070,02,PHILLIPS RANGE,1994,1995,-16.8828,126.1267,.....,WA,416.0,..,..,"Gibb, WA ",/places/wa/DRZD/?location=Gibb,-16.883,126.127
002071,02,HALLS CREEK COMPARISON (OLD),1996,2001,-18.2303,127.6625,GPS,WA,422.0,424.0,..,"Halls Creek, WA ",/places/wa/halls-creek/,-18.230,127.662
002072,02,BEDFORD DOWNS AIRSTRIP,2011,..,-17.2797,127.4648,GPS,WA,531.0,..,..,"Ord River, WA ",/places/wa/DXT6/?location=Ord River,-17.280,127.465
002073,02,MARGARET RIVER AIRSTRIP,2006,..,-18.6217,126.8831,GPS,WA,270.0,..,..,"Mueller Ranges, WA ",/places/wa/DWFB/?location=Mueller Ranges,-18.622,126.883
002074,02,MOOLA BULLA AIRSTRIP,2003,..,-18.1958,127.4948,GPS,WA,440.0,..,..,"Mueller Ranges, WA ",/places/wa/DXJ2/?location=Mueller Ranges,-18.196,127.495
002075,02,BULKA,1995,..,-19.0372,126.0933,GPS,WA,190.0,..,..,"Mueller Ranges, WA ",/places/wa/DQRX/?location=Mueller Ranges,-19.037,126.093
002076,02,MORNINGTON,2004,..,-17.5115,126.1095,GPS,WA,190.0,..,..,"King Leopold Ranges, WA ",/places/wa/DRRW/?location=King Leopold Ranges,-17.512,126.109
002077,02,SIDDINS CREEK,2009,..,-16.9203,126.5511,GPS,WA,410.0,..,..,"Gibb, WA ",/places/wa/DXC6/?location=Gibb,-16.920,126.551
002078,02,LARRAWA AIRFIELD,2009,..,-18.8318,126.5301,GPS,WA,270.0,..,..,"Mueller Ranges, WA ",/places/wa/DW97/?location=Mueller Ranges,-18.832,126.530
002081,02,HALLS CREEK AIRPORT (AUTO EVAP),2024,..,-18.2337,127.6666,GPS,WA,409.4,410.7,99288,"Halls Creek, WA ",/places/wa/halls-creek/,-18.234,127.667
003000,03,BEAGLE BAY,1902,..,-16.9807,122.6662,GPS,WA,9.0,..,..,"Dampier Peninsula, WA ",/places/wa/DPC0/?location=Dampier Peninsula,-16.981,122.666
003001,03,COUNTRY DOWNS,1969,..,-17.2767,122.5711,GPS,WA,153.0,..,..,"Waterbank, WA ",/places/wa/DP8F/?location=Waterbank,-17.277,122.571
003002,03,BROOME POST OFFICE,1889,1953,-17.9500,122.2500,.....,WA,19.0,..,..,"Broome, WA ",/places/wa/broome/,-17.950,122.250
003003,03,BROOME AIRPORT,1939,..,-17.9475,122.2352,GPS,WA,7.4,8.7,94203,"Broome, WA ",/places/wa/broome/,-17.948,122.235
003004,03,CAPE LEVEQUE,1917,..,-16.3961,122.9278,GPS,WA,25.0,..,..,"Dampier Peninsula, WA ",/places/wa/F04K/?location=Dampier Peninsula,-16.396,122.928
003005,03,FAIRFIELD STATION,1950,2021,-17.5725,125.0675,GPS,WA,120.0,..,..,"King Leopold Ranges, WA ",/places/wa/DR7J/?location=King Leopold Ranges,-17.573,125.067
