site,dist,site_name,start,end,lat,lon,source,state,height,bar_ht,wmo,location,path,loc_lat,loc_lon,reqs,resps,request_time,current_temp,current_temp_time,station_id,approx_distance
009254,09,ARMAMENT JETTY,2001,..,-32.1758,115.6808,GPS,WA,9.0,..,99254,"Garden Island, WA ",/places/wa/garden-island/,-32.176,115.681,,,2025-03-24T20:08:07Z,21.8,3:50am,95607,4.8
009255,09,COLPOYS POINT,2001,..,-32.2272,115.6994,GPS,WA,3.0,..,99255,"Garden Island, WA ",/places/wa/3N5Z/?location=Garden Island,-32.227,115.699,,,2025-03-24T20:08:07Z,21.8,3:50am,95607,0.8
009256,09,GARDEN ISLAND HSF,2001,..,-32.2433,115.6839,GPS,WA,6.0,6.5,95607,"Garden Island, WA ",/places/wa/3N5Z/?location=Garden Island,-32.243,115.684,,,2025-03-24T20:08:07Z,21.8,3:50am,95607,0.8
009265,09,HILLARYS BOAT HARBOUR NTC AWS,1991,..,-31.8256,115.7386,MAP 1:250 000,WA,0.0,1.3,95605,"Sorrento, WA ",/places/wa/3NKP/?location=Sorrento,-31.826,115.739,,,2025-03-24T20:08:07Z,22.1,3:50am,95605,2.7
009272,09,PERTH RADAR,2010,..,-32.3917,115.8670,GPS,WA,15.0,..,99095,"Hopeland, WA ",/places/wa/hopeland/,-32.392,115.867,,,2025-03-24T20:08:07Z,NA,3:50am,94605,19.4
009280,09,LANCELIN (DEFENCE),2018,..,-30.8392,115.2283,SURVEY,WA,3.4,4.1,95609,"Wedge Island, WA ",/places/wa/3P1G/?location=Wedge Island,-30.839,115.228,,,2025-03-24T20:08:07Z,18.6,3:50am,95609,2.6
009281,09,MILLENDON (SWAN VALLEY),2017,..,-31.8112,116.0227,SURVEY,WA,15.6,16.4,94795,"Millendon, WA ",/places/wa/millendon/,-31.811,116.023,,,2025-03-24T20:08:07Z,16.2,3:50am,94795,NA
009289,09,PERTH AIRPORT (AUTO EVAP),2024,..,-31.9275,115.9764,GPS,WA,15.4,20.0,99296,"Perth Airport, WA ",/places/wa/perth-airport/,-31.927,115.976,,,2025-03-24T20:08:07Z,17.2,3:50am,94610,2.5
009500,09A,ALBANY,1877,..,-35.0289,117.8808,GPS,WA,3.0,..,94801,"Albany, WA ",/places/wa/albany/,-35.029,117.881,,,2025-03-24T20:08:07Z,19.8,3:50am,94802,13.8
009510,09A,BRIDGETOWN COMPARISON,1887,..,-33.9575,116.1375,GPS,WA,149.9,150.7,94616,"Bridgetown, WA ",/places/wa/bridgetown/,-33.958,116.138,,,2025-03-24T20:08:07Z,17.1,3:50am,95632,2.5
009518,09A,CAPE LEEUWIN,1897,..,-34.3728,115.1358,GPS,WA,13.0,14.0,94601,"Leeuwin, WA ",/places/wa/leeuwin/,-34.373,115.136,,,2025-03-24T20:08:07Z,21.1,3:50am,94601,2.7
009519,09A,CAPE NATURALISTE,1903,..,-33.5372,115.0189,GPS,WA,109.0,109.5,94600,"Naturaliste, WA ",/places/wa/3J3J/?location=Naturaliste,-33.537,115.019,,,2025-03-24T20:08:07Z,18.2,3:50am,94600,1.6
009534,09A,DONNYBROOK,1900,..,-33.5719,115.8247,GPS,WA,63.0,..,95622,"Donnybrook, WA ",/places/wa/3JKM/?location=Donnybrook,-33.572,115.825,,,2025-03-24T20:08:07Z,20.2,3:50am,94604,25.9
